id,date,barangay,crime_type,crime_count,latitude,longitude
1,2022-05-17,BAGANIHAN,Carnapping,3,7.1123620356542085,125.57159876348508
2,2023-08-28,BARANGAY 5-A (POB.),Robbery,4,7.2852142919229745,125.64162969879
3,2022-12-01,"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",Cyber Fraud,3,7.219598182543422,125.62804827893706
4,2022-05-24,"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",Homicide,5,7.179597545259111,125.44616997140814
5,2021-07-11,CARMEN,Hacking,3,7.046805592132731,125.44477484092245
6,2024-05-02,"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",Assault,2,7.046798356100861,125.48045231032349
7,2020-06-04,PAMPANGA,Phishing,3,7.01742508365046,125.50832241790232
8,2021-03-13,BAGANIHAN,Vandalism,4,7.259852843732481,125.52253667442255
9,2020-10-07,SALAPAWAN,Cyberbullying,4,7.180334503522962,125.60390916505001
10,2024-11-14,CARMEN,Online Scam,2,7.212421773338813,125.41700412964975
11,2022-09-11,NEW VALENCIA,Illegal Drugs,4,7.006175348288741,125.41040181126783
12,2022-12-14,"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",Illegal Drugs,1,7.2909729556485985,125.51757316888317
13,2023-12-02,BINUGAO,Phishing,3,7.249732792240127,125.6091491076414
14,2020-04-28,TUNGKALAN,Illegal Drugs,1,7.063701733203483,125.45803060288695
15,2022-03-27,"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",Cyber Fraud,2,7.05454749016213,125.59245134437688
16,2024-10-02,MAPI-ILA,Hacking,4,7.05502135295603,125.4779484413821
17,2024-04-26,CAWAYAN,Theft,2,7.091272672887861,125.66582583264406
18,2020-07-02,BAGANIHAN,Cyber Fraud,5,7.157426929489671,125.66870698327999
19,2022-09-09,"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",Cyberbullying,1,7.129583505592635,125.48918616128441
20,2024-10-19,TORII (POB.),Carnapping,5,7.087368742059413,125.46899812618898
21,2020-02-25,COMMUNAL,Phishing,3,7.183555868416714,125.52339119161988
22,2021-07-05,BARANGAY 13-B,Carnapping,5,7.041848158195613,125.47215947555405
23,2023-01-02,"MANDUG (BRGY UNDER PS 13, DCPO)",Vandalism,3,7.0876433945605655,125.60171515298751
24,2024-12-15,BAGO OSHIRO,Physical Injury,3,7.109908552988108,125.64781940536449
25,2020-01-09,40-D BOLTON ISLA,Robbery,3,7.1368209952651105,125.60192763927337
26,2020-07-27,BARANGAY 27-C,Identity Theft,2,7.235552788417904,125.64730513417481
27,2020-11-22,"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",Assault,3,7.0599021346475075,125.51909764866225
28,2022-10-11,ALFONSO ANGLIONGTO SR,Identity Theft,1,7.154270331524083,125.44689509121267
29,2022-04-07,LUBOGAN,Murder,4,7.177724370658613,125.62138528421929
30,2022-11-05,ILANG,Cyberbullying,4,7.013935123815999,125.50814235154247
31,2024-12-24,COMMUNAL,Homicide,4,7.182263455570431,125.60138124756874
32,2020-08-15,BANGKAS HEIGHTS,Identity Theft,4,7.051157237106187,125.48119318259454
33,2023-08-14,PAMPANGA,Phishing,3,7.019515477895584,125.42436889044201
34,2022-08-06,BARANGAY 32-D,Cyberbullying,1,7.284665661176,125.69777453864633
35,2024-04-25,BARANGAY 27-C,Physical Injury,1,7.289689609922368,125.44686045237918
36,2022-11-12,"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",Murder,2,7.242519204434938,125.69652629818904
37,2023-08-16,CABANTIAN,Homicide,5,7.091384130752012,125.69318397976994
38,2024-10-09,MAHAYAG,Murder,1,7.029301634201915,125.63814543117242
39,2024-04-27,"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",Physical Injury,5,7.205269907953647,125.59782688862461
40,2020-01-28,GUMITAN,Illegal Drugs,3,7.132045748121881,125.57334211507533
41,2020-01-05,"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",Robbery,1,7.036611470453433,125.65983046361336
42,2023-11-12,CABANTIAN,Robbery,4,7.148553073033381,125.48683185648585
43,2022-03-22,"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",Vandalism,4,7.0103165563345655,125.54030436374546
44,2024-11-06,PAMPANGA,Physical Injury,3,7.272796120623634,125.58581699080996
